사고유형 대분류,사고유형 중분류,사고유형,연도,합계,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024
사고유형 대분류,사고유형 중분류,사고유형,연도,합계,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타
차량단독,전도/전복,전도/전복,사고[건],"5,442","1,286","1,042",200,16,5,0,0,23,"1,121",929,140,25,4,0,1,22,"1,103",946,115,14,8,0,0,20,"1,025",873,117,16,1,0,1,17,907,784,98,13,0,2,0,10
차량단독,전도/전복,전도/전복,사망[명],528,116,93,21,0,0,0,0,2,118,98,19,0,0,0,0,1,99,89,6,1,2,0,0,1,101,89,9,1,0,0,0,2,94,89,5,0,0,0,0,0
차량단독,전도/전복,전도/전복,부상[명],"5,682","1,370","1,079",227,23,16,0,0,25,"1,191",970,156,33,6,0,1,25,"1,160",982,126,20,10,0,0,22,"1,048",884,128,19,1,0,1,15,913,781,104,15,0,3,0,10
차량단독,기타,기타,사고[건],"18,689","3,728","3,252",385,21,3,0,0,67,"3,401","2,989",289,39,12,0,0,72,"3,511","3,175",209,33,9,1,0,84,"4,026","3,600",321,25,5,1,0,74,"4,023","3,654",266,24,15,1,0,63
차량단독,기타,기타,사망[명],644,130,117,12,0,0,0,0,1,148,115,21,3,0,0,0,9,134,114,12,3,1,0,0,4,134,114,15,1,0,0,0,4,98,84,14,0,0,0,0,0
차량단독,기타,기타,부상[명],"20,058","4,041","3,469",477,21,3,0,0,71,"3,639","3,194",318,43,14,0,0,70,"3,755","3,388",221,41,16,1,0,88,"4,299","3,839",344,30,11,1,0,74,"4,324","3,872",286,35,21,1,0,109
철길건널목,철길건널목,철길건널목,사고[건],12,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0
철길건널목,철길건널목,철길건널목,사망[명],7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
철길건널목,철길건널목,철길건널목,부상[명],10,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
주) 부상자수 = 중상자수 + 경상자수 + 부상신고자수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
