"SUM_YRMTH","VDS_CD","COCT_CD","TRFFCVLM","OCCPNCY","SPD_AVG","NMLT_CSCNT","REVISN_CSCNT","LAST_CHANGE_DAYHMINSEC"
"202503","0010VDS23350","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS23400","1","652275","4.13","87.27","89273","7","20250401083008"
"202503","0010VDS23500","1","476","13.29","90.61","89271","9","20250401083008"
"202503","0010VDS23600","1","938507","6.00","103.12","89259","21","20250401083008"
"202503","0010VDS23610","1","183070","5.71","73.97","72461","19","20250401083008"
"202503","0010VDS23620","1","69239","5.07","56.01","72461","19","20250401083008"
"202503","0010VDS23700","1","939040","6.00","103.13","89274","6","20250401083008"
"202503","0010VDS23800","1","317912","6.76","89.92","88812","148","20250401083008"
"202503","0010VDS23900","1","903070","7.07","99.95","88969","311","20250401083008"
"202503","0010VDS24000","1","77","95.13","77.62","89280","0","20250401083008"
"202503","0010VDS24100","1","1333468","4.82","83.34","88976","125","20250401083008"
"202503","0010VDS24200","1","1497656","4.14","92.34","88862","418","20250401083008"
"202503","0010VDS24300","1","4762","6.69","92.73","89280","0","20250401083008"
"202503","0010VDS24400","1","1190423","6.63","88.62","89280","0","20250401083008"
"202503","0010VDS24500","1","1013470","6.10","95.59","89206","10","20250401083008"
"202503","0010VDS24600","1","855081","9.69","89.17","82766","1131","20250401083008"
"202503","0010VDS24700","1","319098","6.54","106.39","89257","23","20250401083008"
"202503","0010VDS24800","1","1596674","15.27","77.13","89280","0","20250401083008"
"202503","0010VDS24900","1","1554905","6.56","87.74","89280","0","20250401083008"
"202503","0010VDS25000","1","1532109","7.21","93.85","89274","6","20250401083008"
"202503","0010VDS25100","1","1618434","6.81","96.28","88962","317","20250401083008"
"202503","0010VDS25200","1","1616910","7.86","94.19","89204","76","20250401083008"
"202503","0010VDS25300","1","1524436","7.13","104.17","89269","11","20250401083008"
"202503","0010VDS25310","1","-1","-1.00","-1.00","0","220","20250401083008"
"202503","0010VDS25320","1","-1","-1.00","-1.00","0","220","20250401083008"
"202503","0010VDS25450","1","1550146","8.61","94.40","89280","0","20250401083008"
"202503","0010VDS25500","1","1551325","4.12","88.04","89261","19","20250401083008"
"202503","0010VDS25600","1","1408811","4.28","87.37","89181","99","20250401083008"
"202503","0010VDS25610","1","-1","-1.00","-1.00","0","220","20250401083008"
"202503","0010VDS25680","1","1017619","2.06","107.24","89188","92","20250401083008"
"202503","0010VDS25700","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS25800","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS25810","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS25900","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS26000","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS26100","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS26200","1","2166425","6.94","90.16","89280","0","20250401083008"
"202503","0010VDS26300","1","2315308","7.50","97.26","89269","11","20250401083008"
"202503","0010VDS26320","1","0","0.00","0.00","89274","6","20250401083008"
"202503","0010VDS26330","1","-1","-1.00","-1.00","72474","6","20250401083008"
"202503","0010VDS26350","1","2473425","7.53","92.01","88628","652","20250401083008"
"202503","0010VDS26400","1","2349173","7.71","87.50","89275","5","20250401083008"
"202503","0010VDS26500","1","0","0.00","0.00","89280","0","20250401083008"
"202503","0010VDS26600","1","-1","-1.00","-1.00","87487","21","20250401083008"
"202503","0010VDS26700","1","41704","11.02","84.29","89185","95","20250401083008"
"202503","0010VDS26750","1","2524308","9.70","91.87","86067","1441","20250401083008"
"202503","0010VDS26800","1","2568552","9.78","91.69","89244","36","20250401083008"
"202503","0010VDS26900","1","2362587","6.69","95.19","89275","5","20250401083008"
"202503","0010VDS26990","1","1920047","1.79","100.58","89277","3","20250401083008"
"202503","0010VDS27000","1","2380149","7.95","89.40","89257","23","20250401083008"
"202503","0010VDS27100","1","2093312","3.20","97.47","89018","262","20250401083008"
"202503","0010VDS27150","1","2482011","9.77","86.34","83980","5300","20250401083008"
"202503","0010VDS27200","1","1316794","4.50","95.11","89277","3","20250401083008"
"202503","0010VDS27300","1","2332122","11.94","83.16","89279","1","20250401083008"
"202503","0010VDS27310","1","0","0.00","0.00","89280","0","20250401083008"
"202503","0010VDS27320","1","-1","-1.00","-1.00","37200","0","20250401083008"
"202503","0010VDS27400","1","1493286","4.85","99.42","89279","1","20250401083008"
"202503","0010VDS27500","1","0","0.00","0.00","89279","1","20250401083008"
"202503","0010VDS27601","1","1413308","0.50","91.22","46456","17711","20250401083008"
"202503","0010VDS27610","1","65362","4.03","69.90","37199","1","20250401083008"
"202503","0010VDS27620","1","378010","8.00","65.97","89278","2","20250401083008"
"202503","0010VDS27630","1","32478","3.04","66.20","37200","0","20250401083008"
"202503","0010VDS27710","1","-1","-1.00","-1.00","37200","0","20250401083008"
"202503","0010VDS27720","1","-1","-1.00","-1.00","37200","0","20250401083008"
"202503","0010VDS27730","1","51325","5.60","37.57","89266","14","20250401083008"
"202503","0010VDS27801","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS27810","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS28000","1","1052390","0.50","90.55","47672","17837","20250401083008"
"202503","0010VDS28201","1","85919","0.49","91.32","58138","13685","20250401083008"
"202503","0010VDS28300","1","1554672","0.49","90.75","58552","13362","20250401083008"
"202503","0010VDS28400","1","1987518","0.50","86.04","71691","5907","20250401083008"
"202503","0010VDS28500","1","1758016","0.51","86.25","64336","8782","20250401083008"
"202503","0010VDS28600","1","1725989","0.55","84.88","65100","7483","20250401083008"
"202503","0010VDS28700","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS29000","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS29010","1","186300","8.64","34.07","89267","13","20250401083008"
"202503","0010VDS29020","1","78651","9.18","42.39","37198","2","20250401083008"
"202503","0010VDS29100","1","1240723","0.60","82.89","45812","18716","20250401083008"
"202503","0010VDS29200","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS29301","1","1174071","0.51","88.91","47490","13486","20250401083008"
"202503","0010VDS29310","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS29320","1","-1","-1.00","-1.00","0","682","20250401083008"
"202503","0010VDS29610","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS29611","1","-1","-1.00","-1.00","0","682","20250401083008"
"202503","0010VDS29620","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS29630","1","1816302","6.08","101.22","75297","10778","20250401083008"
"202503","0010VDS29900","1","1249076","0.43","93.59","55258","11708","20250401083008"
"202503","0010VDS30110","1","0","0.00","0.00","89280","0","20250401083008"
"202503","0010VDS30120","1","554565","11.02","50.49","89280","0","20250401083008"
"202503","0010VDS30200","1","-1","-1.00","-1.00","0","0","20250401083008"
"202503","0010VDS30300","1","1362790","0.51","87.30","45226","19200","20250401083008"
"202503","0010VDS30301","1","12257","0.57","80.80","26362","4683","20250401083008"
